代码,地市名称,2016一,2016二,2016三,2016四,2017一,2017二,2017三,2017四,2018一,2018二,2018三,2018四,2019一,2019二,2019三,2019四,2020一,2020二,2020三,2020四
32,阿坝,1,2,0,0,4,0,0,7,1,2,2,4,3,0,0,3,1,4,3,1
19,巴中,2,7,19,7,11,10,11,24,6,23,22,22,8,23,12,17,5,20,17,9
1,成都,39,67,76,109,93,138,145,224,110,139,134,212,130,103,153,209,61,104,79,57
17,达州,8,11,8,16,15,12,17,19,19,15,27,27,15,16,23,28,9,35,17,14
6,德阳,3,6,1,12,4,11,11,38,5,14,12,24,3,5,18,17,5,18,9,10
33,甘孜,0,0,0,1,2,0,0,2,0,1,5,5,4,1,3,6,0,1,3,0
16,广安,4,8,3,6,10,6,6,7,7,24,17,13,7,14,18,16,6,11,22,14
8,广元,3,9,12,11,12,8,17,31,10,21,15,15,3,16,13,19,5,15,20,17
11,乐山,2,7,7,11,9,9,16,24,10,7,9,12,6,9,10,13,5,7,9,5
34,凉山,6,4,10,11,9,16,18,19,16,21,19,26,6,11,23,30,4,13,19,23
5,泸州,8,13,7,26,13,7,14,25,12,31,12,23,24,13,17,31,9,11,4,7
14,眉山,6,7,12,11,10,14,24,21,7,11,18,12,8,12,17,23,2,19,17,7
7,绵阳,5,20,13,25,28,34,18,33,25,25,27,32,16,15,24,22,7,24,29,21
13,南充,5,14,11,16,14,27,21,23,15,37,16,38,24,27,28,39,12,26,13,8
10,内江,3,10,6,6,6,12,15,11,6,14,4,10,5,17,14,21,9,32,19,5
4,攀枝花,4,15,12,20,6,19,20,27,21,34,18,13,9,16,17,14,6,12,9,8
9,遂宁,2,1,7,15,11,14,24,27,5,8,14,16,2,12,13,18,4,16,8,4
18,雅安,3,6,18,3,10,8,7,6,7,16,12,10,6,12,7,8,7,21,19,8
15,宜宾,12,16,30,19,15,27,30,37,16,24,23,24,15,20,35,46,13,18,20,18
20,资阳,3,4,1,3,14,7,7,13,5,13,9,26,14,9,9,15,6,15,13,9
3,自贡,2,5,8,13,14,19,15,17,27,15,9,11,6,5,4,7,8,20,15,7
